id,subject,type,name,rarity,mp,damage,shield,utility_value,front_text,flavor
"영어_공격_044","영어","공격","가정법과거 일격","전설","5","17","","","MP 5 소모, 대상에게 데미지 17.","현재 사실과 반대되는 상황을 가정하는 문법(If + 과거형)."
"영어_공격_045","영어","공격","가정법과거완료","희귀","4","11","","","MP 4 소모, 대상에게 데미지 11.","과거 사실과 반대되는 상황을 가정하는 문법(If + had p.p.)."
"영어_공격_046","영어","공격","관계대명사 연쇄","일반","1","5","","","MP 1 소모, 대상에게 데미지 5.","who, which, that처럼 두 문장을 연결하며 명사를 수식하는 대명사."
"영어_공격_047","영어","공격","분사구문 습격","희귀","4","13","","","MP 4 소모, 대상에게 데미지 13.","접속사와 주어를 생략해 문장을 간결하게 만드는 구문."
"영어_공격_048","영어","공격","동명사 포격","일반","1","7","","","MP 1 소모, 대상에게 데미지 7.","동사에 -ing를 붙여 명사처럼 쓰는 형태."
"영어_공격_049","영어","공격","부정사 관통","일반","2","8","","","MP 2 소모, 대상에게 데미지 8.","to + 동사원형. 명사·형용사·부사 역할을 모두 할 수 있다."
"영어_공격_050","영어","공격","비교급 강타","일반","1","4","","","MP 1 소모, 대상에게 데미지 4.","두 대상을 비교할 때 쓰는 형태(-er, more)."
"영어_공격_051","영어","공격","최상급 일격","일반","2","5","","","MP 2 소모, 대상에게 데미지 5.","셋 이상 중 가장 두드러짐을 나타내는 형태(-est, most)."
"영어_공격_052","영어","공격","도치구문 기습","희귀","3","12","","","MP 3 소모, 대상에게 데미지 12.","강조를 위해 어순을 바꾸는 구문."
"영어_공격_053","영어","공격","강조구문 폭발","일반","2","7","","","MP 2 소모, 대상에게 데미지 7.","It is ~ that 구문처럼 특정 요소를 강조하는 구조."
"영어_공격_054","영어","공격","접속사 연격","전설","5","19","","","MP 5 소모, 대상에게 데미지 19.","단어·구·절을 이어주는 품사."
"영어_공격_055","영어","공격","전치사구 사격","희귀","4","9","","","MP 4 소모, 대상에게 데미지 9.","전치사 + 명사로 이루어진 수식어구."
"영어_공격_056","영어","공격","조동사 압박","일반","1","5","","","MP 1 소모, 대상에게 데미지 5.","동사를 도와 의미를 더하는 품사(can, must, should)."
"영어_공격_057","영어","공격","사역동사 강제","희귀","4","11","","","MP 4 소모, 대상에게 데미지 11.","다른 대상에게 어떤 행동을 시키는 동사(make, have, let)."
"영어_공격_058","영어","공격","지각동사 감지","일반","1","7","","","MP 1 소모, 대상에게 데미지 7.","보고 듣고 느끼는 것을 나타내는 동사(see, hear, feel)."
"영어_공격_059","영어","공격","간접화법 전환","일반","2","8","","","MP 2 소모, 대상에게 데미지 8.","남의 말을 자신의 문장 구조로 바꿔 전달하는 방식."
"영어_공격_060","영어","공격","시제일치 낙인","일반","1","4","","","MP 1 소모, 대상에게 데미지 4.","주절과 종속절의 시제를 맞추는 문법 규칙."
"영어_방어_061","영어","방어","관사 방패","일반","2","","4","","MP 2 소모, 받는 데미지 4만큼 감소(1회).","명사 앞에 붙어 특정/불특정을 나타내는 a, an, the."
"영어_방어_062","영어","방어","수일치 보호막","희귀","3","","8","","MP 3 소모, 받는 데미지 8만큼 감소(1회).","주어의 단수·복수에 맞춰 동사 형태를 맞추는 규칙."
"영어_방어_063","영어","방어","인칭대명사 결계","일반","2","","6","","MP 2 소모, 받는 데미지 6만큼 감소(1회).","사람이나 사물을 대신 가리키는 대명사(I, you, he...)."
"영어_방어_064","영어","방어","재귀대명사 반사","전설","5","","14","","MP 5 소모, 받는 데미지 14만큼 감소(1회).","주어와 목적어가 같을 때 쓰는 대명사(myself, yourself...)."
"영어_방어_065","영어","방어","접속법 방어","희귀","4","","6","","MP 4 소모, 받는 데미지 6만큼 감소(1회).","사실이 아닌 것을 표현하는 동사 형태."
"영어_방어_066","영어","방어","병렬구조 정렬","일반","1","","5","","MP 1 소모, 받는 데미지 5만큼 감소(1회).","같은 문법 형태를 나란히 배치하는 구조."
"영어_방어_067","영어","방어","문장부호 결속","희귀","4","","8","","MP 4 소모, 받는 데미지 8만큼 감소(1회).","쉼표, 마침표 등 문장의 의미를 명확히 하는 기호."
"영어_방어_068","영어","방어","철자규칙 방벽","일반","1","","3","","MP 1 소모, 받는 데미지 3만큼 감소(1회).","단어를 올바르게 표기하는 규칙."
"영어_방어_069","영어","방어","발음기호 차단","일반","2","","4","","MP 2 소모, 받는 데미지 4만큼 감소(1회).","단어의 소리를 기호로 나타낸 것(IPA)."
"영어_방어_070","영어","방어","억양 반사","일반","1","","5","","MP 1 소모, 받는 데미지 5만큼 감소(1회).","말할 때의 음의 높낮이 변화."
"영어_유틸_071","영어","유틸","어원 분석","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","단어가 어디서 유래했는지 추적하는 것."
"영어_유틸_072","영어","유틸","접두사 부착","희귀","3","","","3","MP 3 소모, 진영 특성에 맞는 특수 효과(보정치 3) 1회 적용.","단어 앞에 붙어 의미를 바꾸는 요소(un-, re-, pre-)."
"영어_유틸_073","영어","유틸","접미사 부착","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","단어 뒤에 붙어 품사나 의미를 바꾸는 요소(-tion, -able)."
"영어_유틸_074","영어","유틸","동의어 치환","전설","5","","","5","MP 5 소모, 진영 특성에 맞는 특수 효과(보정치 5) 1회 적용.","뜻이 비슷한 다른 단어로 바꾸는 것."
"영어_유틸_075","영어","유틸","반의어 역전","희귀","4","","","4","MP 4 소모, 진영 특성에 맞는 특수 효과(보정치 4) 1회 적용.","뜻이 반대되는 단어."
"영어_유틸_076","영어","유틸","관용구 활용","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","단어 그대로의 뜻과 다른 의미로 굳어진 표현."
"영어_유틸_077","영어","유틸","연어(콜로케이션) 결합","희귀","4","","","4","MP 4 소모, 진영 특성에 맞는 특수 효과(보정치 4) 1회 적용.","자연스럽게 함께 쓰이는 단어의 조합."
"영어_유틸_078","영어","유틸","문맥 추론","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","앞뒤 내용을 보고 단어나 문장의 의미를 유추하는 것."
"영어_유틸_079","영어","유틸","요약 압축","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","글의 핵심만 간추려 정리하는 것."
"영어_유틸_080","영어","유틸","스키밍 탐색","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","글 전체를 빠르게 훑어 대의를 파악하는 읽기 방법."
"국어_공격_081","국어","공격","은유법 일격","일반","2","5","","","MP 2 소모, 대상에게 데미지 5.","'A는 B다'처럼 원관념을 보조관념에 빗대어 표현하는 수사법."
"국어_공격_082","국어","공격","직유법 사격","희귀","3","12","","","MP 3 소모, 대상에게 데미지 12.","'~처럼', '~같이'를 써서 직접 비유하는 수사법."
"국어_공격_083","국어","공격","의인법 강타","일반","2","7","","","MP 2 소모, 대상에게 데미지 7.","사람이 아닌 것을 사람처럼 표현하는 수사법."
"국어_공격_084","국어","공격","반어법 반격","전설","5","17","","","MP 5 소모, 대상에게 데미지 17.","속마음과 반대로 표현해 효과를 높이는 수사법."
"국어_공격_085","국어","공격","역설법 폭발","희귀","4","9","","","MP 4 소모, 대상에게 데미지 9.","모순되어 보이지만 그 안에 진실을 담은 표현."
"국어_공격_086","국어","공격","풍자 저격","일반","1","5","","","MP 1 소모, 대상에게 데미지 5.","현실의 부정적인 면을 빗대어 비판하는 표현 방식."
"국어_공격_087","국어","공격","대구법 연격","희귀","4","11","","","MP 4 소모, 대상에게 데미지 11.","비슷한 구조의 어구를 나란히 배치하는 수사법."
"국어_공격_088","국어","공격","점층법 상승","일반","1","7","","","MP 1 소모, 대상에게 데미지 7.","뜻을 점점 강하고 크게 확대하는 수사법."
"국어_공격_089","국어","공격","도치법 기습","일반","2","8","","","MP 2 소모, 대상에게 데미지 8.","문장의 정상적인 어순을 바꿔 강조하는 수사법."
"국어_공격_090","국어","공격","설의법 일격","일반","1","4","","","MP 1 소모, 대상에게 데미지 4.","답이 뻔한 것을 질문 형식으로 표현해 강조하는 수사법."
"국어_공격_091","국어","공격","활유법 침투","일반","2","5","","","MP 2 소모, 대상에게 데미지 5.","무생물을 생물처럼 표현하는 수사법."
"국어_공격_092","국어","공격","중의법 함정","희귀","3","10","","","MP 3 소모, 대상에게 데미지 10.","한 표현이 두 가지 이상의 뜻으로 해석되는 수사법."
"국어_공격_093","국어","공격","과장법 강타","일반","2","7","","","MP 2 소모, 대상에게 데미지 7.","실제보다 크거나 작게 표현하는 수사법."
"국어_공격_094","국어","공격","열거법 연타","전설","5","19","","","MP 5 소모, 대상에게 데미지 19.","여러 대상을 나란히 늘어놓는 수사법."
"국어_공격_095","국어","공격","대유법 관통","희귀","4","13","","","MP 4 소모, 대상에게 데미지 13.","일부로 전체를, 또는 특징으로 대상을 나타내는 수사법."
"국어_공격_096","국어","공격","문답법 유도","일반","1","5","","","MP 1 소모, 대상에게 데미지 5.","스스로 묻고 답하는 형식으로 서술하는 방법."
"국어_공격_097","국어","공격","영탄법 폭발","희귀","4","9","","","MP 4 소모, 대상에게 데미지 9.","감탄사나 감탄형 어미로 감정을 강하게 드러내는 수사법."
"국어_공격_098","국어","공격","돈호법 호출","일반","1","7","","","MP 1 소모, 대상에게 데미지 7.","사물이나 사람을 불러 주의를 환기하는 수사법."
"국어_공격_099","국어","공격","상징 저격","일반","2","8","","","MP 2 소모, 대상에게 데미지 8.","구체적인 사물로 추상적인 의미를 나타내는 표현."
"국어_공격_100","국어","공격","우의 일격","일반","1","4","","","MP 1 소모, 대상에게 데미지 4.","동식물이나 사물에 빗대어 인간사를 풍자하는 이야기 방식."
"국어_방어_101","국어","방어","맞춤법 방패","일반","2","","4","","MP 2 소모, 받는 데미지 4만큼 감소(1회).","한글을 소리대로 적되 어법에 맞게 표기하는 규정."
"국어_방어_102","국어","방어","띄어쓰기 결계","희귀","3","","8","","MP 3 소모, 받는 데미지 8만큼 감소(1회).","단어와 단어 사이를 띄어 쓰는 규칙."
"국어_방어_103","국어","방어","표준어 방벽","일반","2","","6","","MP 2 소모, 받는 데미지 6만큼 감소(1회).","한 나라에서 공용어로 정한 규범적인 말."
"국어_방어_104","국어","방어","두음법칙 반사","전설","5","","12","","MP 5 소모, 받는 데미지 12만큼 감소(1회).","단어 첫머리에서 소리가 변하는 규칙(여자, 노인 등)."
"국어_방어_105","국어","방어","사이시옷 차단","희귀","4","","6","","MP 4 소모, 받는 데미지 6만큼 감소(1회).","합성어에서 발음을 매끄럽게 하기 위해 넣는 시옷."
"국어_방어_106","국어","방어","조사활용 방어","일반","1","","5","","MP 1 소모, 받는 데미지 5만큼 감소(1회).","체언 뒤에 붙는 조사('이/가', '을/를')의 올바른 쓰임."
"국어_방어_107","국어","방어","어미활용 결속","희귀","4","","8","","MP 4 소모, 받는 데미지 8만큼 감소(1회).","용언의 어간에 붙어 문법적 의미를 더하는 부분."
"국어_방어_108","국어","방어","존댓말 보호막","일반","1","","3","","MP 1 소모, 받는 데미지 3만큼 감소(1회).","상대를 높이기 위해 사용하는 말."
"국어_방어_109","국어","방어","높임법 결계","일반","2","","4","","MP 2 소모, 받는 데미지 4만큼 감소(1회).","대상에 따라 말을 높이거나 낮추는 문법 체계."
"국어_방어_110","국어","방어","호응관계 정렬","일반","1","","5","","MP 1 소모, 받는 데미지 5만큼 감소(1회).","문장 성분끼리 서로 자연스럽게 맞아떨어지는 관계."
"국어_유틸_111","국어","유틸","형태소 분석","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","뜻을 가진 가장 작은 말의 단위로 나누는 것."
"국어_유틸_112","국어","유틸","품사 구분","희귀","3","","","3","MP 3 소모, 진영 특성에 맞는 특수 효과(보정치 3) 1회 적용.","단어를 성질에 따라 분류하는 것(명사, 동사...)."
"국어_유틸_113","국어","유틸","문장성분 파악","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","문장을 이루는 주어, 서술어, 목적어 등을 분석하는 것."
"국어_유틸_114","국어","유틸","주제 파악","전설","5","","","5","MP 5 소모, 진영 특성에 맞는 특수 효과(보정치 5) 1회 적용.","글이 전하려는 중심 생각을 찾아내는 것."
"국어_유틸_115","국어","유틸","문단 요약","희귀","4","","","4","MP 4 소모, 진영 특성에 맞는 특수 효과(보정치 4) 1회 적용.","문단의 핵심 내용을 간추리는 것."
"국어_유틸_116","국어","유틸","화자시점 전환","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","이야기를 전달하는 시점을 바꾸는 것(1인칭/3인칭)."
"국어_유틸_117","국어","유틸","서술방식 분석","희귀","4","","","4","MP 4 소모, 진영 특성에 맞는 특수 효과(보정치 4) 1회 적용.","글쓴이가 내용을 전달하는 방법을 파악하는 것."
"국어_유틸_118","국어","유틸","갈래 구분","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","문학 작품을 시, 소설, 수필, 희곡 등으로 나누는 것."
"국어_유틸_119","국어","유틸","시대배경 탐색","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","작품이 쓰인 시대적 상황을 파악하는 것."
"국어_유틸_120","국어","유틸","작가의도 추론","일반","1","","","1","MP 1 소모, 진영 특성에 맞는 특수 효과(보정치 1) 1회 적용.","작가가 작품을 통해 전달하려는 의도를 유추하는 것."
"통합사회_공격_121","통합사회","공격","수요공급 강타","일반","2","5","","","MP 2 소모, 대상에게 데미지 5.","가격에 따라 사고 싶은 양(수요)과 팔고 싶은 양(공급)이 달라지는 원리."
"통합사회_공격_122","통합사회","공격","시장실패 폭격","희귀","3","10","","","MP 3 소모, 대상에게 데미지 10.","시장이 자원을 효율적으로 배분하지 못하는 상황."
"통합사회_공격_123","통합사회","공격","인플레이션 압박","일반","2","7","","","MP 2 소모, 대상에게 데미지 7.","물가가 지속적으로 오르는 현상."
"통합사회_공격_124","통합사회","공격","헌법소원 일격","전설","5","17","","","MP 5 소모, 대상에게 데미지 17.","기본권을 침해당한 국민이 헌법재판소에 구제를 요청하는 제도."
"통합사회_공격_125","통합사회","공격","삼권분립 연격","희귀","4","13","","","MP 4 소모, 대상에게 데미지 13.","입법·행정·사법 권력을 나누어 서로 견제하게 하는 원리."
"통합사회_공격_126","통합사회","공격","국제법 저격","일반","1","5","","","MP 1 소모, 대상에게 데미지 5.","국가 간의 관계를 규율하는 법."
"통합사회_공격_127","통합사회","공격","무역장벽 차단","희귀","4","9","","","MP 4 소모, 대상에게 데미지 9.","자국 산업 보호를 위해 수입을 제한하는 조치."
"통합사회_공격_128","통합사회","공격","여론 재판","일반","1","7","","","MP 1 소모, 대상에게 데미지 7.","다수 시민의 의견이 정책에 영향을 미치는 현상."
"통합사회_공격_129","통합사회","공격","다수결원칙 강타","일반","2","8","","","MP 2 소모, 대상에게 데미지 8.","많은 사람이 찬성하는 의견을 채택하는 의사결정 방식."
"통합사회_공격_130","통합사회","공격","지방자치 연타","일반","1","4","","","MP 1 소모, 대상에게 데미지 4.","지역 주민 스스로 지역 일을 결정하고 처리하는 제도."
"통합사회_공격_131","통합사회","공격","세계화 파동","일반","2","5","","","MP 2 소모, 대상에게 데미지 5.","국가 간 교류가 늘어 세계가 하나의 생활권으로 통합되는 현상."
"통합사회_공격_132","통합사회","공격","문화상대주의 관점","희귀","3","8","","","MP 3 소모, 대상에게 데미지 8.","각 문화를 그 사회의 맥락에서 이해해야 한다는 태도."
"통합사회_공격_133","통합사회","공격","사회계약론 일격","일반","2","7","","","MP 2 소모, 대상에게 데미지 7.","국가는 개인 간의 합의(계약)로 성립했다는 사상."
"통합사회_공격_134","통합사회","공격","시민불복종 저항","전설","5","19","","","MP 5 소모, 대상에게 데미지 19.","부당한 법에 대해 공개적·비폭력적으로 저항하는 행위."
"통합사회_공격_135","통합사회","공격","공정거래 규제","희귀","4","11","","","MP 4 소모, 대상에게 데미지 11.","기업 간 불공정한 거래를 막기 위한 제도."
"통합사회_공격_136","통합사회","공격","노동3권 발동","일반","1","5","","","MP 1 소모, 대상에게 데미지 5.","단결권·단체교섭권·단체행동권 등 노동자의 기본 권리."
"통합사회_공격_137","통합사회","공격","복지국가 지원","희귀","4","13","","","MP 4 소모, 대상에게 데미지 13.","국민의 최소한의 삶을 국가가 보장하려는 이념."
"통합사회_공격_138","통합사회","공격","재정정책 조정","일반","1","7","","","MP 1 소모, 대상에게 데미지 7.","정부가 세금과 지출로 경제를 조절하는 정책."
"통합사회_공격_139","통합사회","공격","통화정책 조율","일반","2","8","","","MP 2 소모, 대상에게 데미지 8.","중앙은행이 통화량과 금리로 경제를 조절하는 정책."
"통합사회_공격_140","통합사회","공격","환율변동 파동","일반","1","4","","","MP 1 소모, 대상에게 데미지 4.","한 나라 화폐와 다른 나라 화폐의 교환 비율 변화."
"통합사회_방어_141","통합사회","방어","기본권 방패","일반","2","","4","","MP 2 소모, 받는 데미지 4만큼 감소(1회).","헌법이 보장하는 국민의 기본적인 권리."
"통합사회_방어_142","통합사회","방어","적법절차 결계","희귀","3","","8","","MP 3 소모, 받는 데미지 8만큼 감소(1회).","국가 권력 행사는 반드시 정당한 절차를 따라야 한다는 원칙."
"통합사회_방어_143","통합사회","방어","평등권 보호막","일반","2","","6","","MP 2 소모, 받는 데미지 6만큼 감소(1회).","누구나 차별받지 않고 동등하게 대우받을 권리."
"통합사회_방어_144","통합사회","방어","인간존엄성 방벽","전설","5","","10","","MP 5 소모, 받는 데미지 10만큼 감소(1회).","모든 인간은 그 자체로 존중받아야 한다는 헌법적 가치."
"통합사회_방어_145","통합사회","방어","사회보장제도 방어","희귀","4","","6","","MP 4 소모, 받는 데미지 6만큼 감소(1회).","국민의 최소 생활을 보장하기 위한 제도."
"통합사회_방어_146","통합사회","방어","소비자보호 결계","일반","1","","5","","MP 1 소모, 받는 데미지 5만큼 감소(1회).","소비자의 권익을 지키기 위한 제도적 장치."
"통합사회_방어_147","통합사회","방어","국민주권 반사","희귀","4","","8","","MP 4 소모, 받는 데미지 8만큼 감소(1회).","국가의 최종 권력이 국민에게 있다는 원리."
"통합사회_방어_148","통합사회","방어","법치주의 방벽","일반","1","","3","","MP 1 소모, 받는 데미지 3만큼 감소(1회).","국가 권력이 법에 근거해 행사되어야 한다는 원리."
"통합사회_방어_149","통합사회","방어","권력분립 결속","일반","2","","4","","MP 2 소모, 받는 데미지 4만큼 감소(1회).","권력을 나누어 서로 견제·균형을 이루게 하는 원리."
"통합사회_방어_150","통합사회","방어","표현의자유 보호","일반","1","","5","","MP 1 소모, 받는 데미지 5만큼 감소(1회).","자신의 생각을 자유롭게 밝힐 수 있는 권리."
"통합사회_유틸_151","통합사회","유틸","지도 해석","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","지도에 담긴 정보를 읽고 분석하는 것."
"통합사회_유틸_152","통합사회","유틸","통계자료 분석","희귀","3","","","3","MP 3 소모, 진영 특성에 맞는 특수 효과(보정치 3) 1회 적용.","수치 자료를 통해 사회 현상을 파악하는 것."
"통합사회_유틸_153","통합사회","유틸","여론조사 활용","일반","2","","","2","MP 2 소모, 진영 특성에 맞는 특수 효과(보정치 2) 1회 적용.","많은 사람의 의견을 수집해 경향을 파악하는 방법."
"통합사회_유틸_154","통합사회","유틸","위도경도 측정","전설","5","","","5","MP 5 소모, 진영 특성에 맞는 특수 효과(보정치 5) 1회 적용.","지구상의 위치를 나타내는 가로선과 세로선."
"통합사회_유틸_155","통합사회","유틸","기후그래프 판독","희귀","4","","","4","MP 4 소모, 진영 특성에 맞는 특수 효과(보정치 4) 1회 적용.","기온과 강수량을 함께 나타낸 그래프를 읽는 것."
